[2026-07-18T17:30:53.472Z] GET http://localhost:4600/game.html → 200 (7ms, 9282B)
[2026-07-18T17:30:53.485Z] GET https://fonts.googleapis.com/css2?family=Fraunces:opsz,wght@9..144,400;9..144,500;9..144,600&family=IBM+Plex+Mono:wght@400;500&family=IBM+Plex+Sans:wght@400;500;600&display=swap → 200 (109ms, 15581B)
[2026-07-18T17:30:53.485Z] GET http://localhost:4600/styles.css → 200 (6ms, 14241B)
[2026-07-18T17:30:53.485Z] GET http://localhost:4600/game.js → 200 (6ms, 8020B)
[2026-07-18T17:30:53.598Z] GET http://localhost:4600/api/game-status → 200 (39ms, 227B)
[2026-07-18T17:30:53.636Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (105ms, 67388B)
[2026-07-18T17:30:53.636Z] GET https://fonts.gstatic.com/s/ibmplexsans/v23/zYXzKVElMYYaJe8bpLHnCwDKr932-G7dytD-Dmu1syxeKYbSB4Zh.woff2 → 200 (85ms, 40240B)
[2026-07-18T17:30:53.636Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (101ms, 10052B)
[2026-07-18T17:30:56.641Z] GET http://localhost:4600/api/game-status → 200 (3ms, 227B)
[2026-07-18T17:30:59.644Z] GET http://localhost:4600/api/game-status → 200 (3ms, 227B)
[2026-07-18T17:31:02.648Z] GET http://localhost:4600/api/game-status → 200 (2ms, 227B)
[2026-07-18T17:31:05.652Z] GET http://localhost:4600/api/game-status → 200 (2ms, 227B)
[2026-07-18T17:31:06.786Z] POST http://localhost:4600/api/action → 200 (1ms, 11B)
[2026-07-18T17:31:06.787Z] GET http://localhost:4600/api/game-status → 200 (4ms, 354B)
[2026-07-18T17:31:07.994Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:09.197Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:10.401Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:11.604Z] GET http://localhost:4600/api/game-status → 200 (3ms, 354B)
[2026-07-18T17:31:12.808Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:14.012Z] GET http://localhost:4600/api/game-status → 200 (3ms, 354B)
[2026-07-18T17:31:15.217Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:16.419Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:17.623Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:18.827Z] GET http://localhost:4600/api/game-status → 200 (3ms, 354B)
[2026-07-18T17:31:20.085Z] GET http://localhost:4600/api/game-status → 200 (5ms, 354B)
[2026-07-18T17:31:21.294Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:22.498Z] GET http://localhost:4600/api/game-status → 200 (8ms, 354B)
[2026-07-18T17:31:23.709Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:24.915Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:26.121Z] GET http://localhost:4600/api/game-status → 200 (2ms, 354B)
[2026-07-18T17:31:34.536Z] GET http://localhost:4600/api/game-status → 200 (24ms, 1326B)
[2026-07-18T17:31:37.565Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1326B)
[2026-07-18T17:31:40.589Z] GET http://localhost:4600/api/game-status → 200 (25ms, 1326B)
[2026-07-18T17:31:44.921Z] GET http://localhost:4600/api/game-status → 200 (16ms, 1326B)
[2026-07-18T17:31:46.347Z] POST http://localhost:4600/api/action → 200 (3ms, 11B)
[2026-07-18T17:31:46.351Z] GET http://localhost:4600/api/game-status → 200 (12ms, 1249B)
[2026-07-18T17:31:47.565Z] GET http://localhost:4600/api/game-status → 200 (16ms, 1249B)
[2026-07-18T17:31:48.784Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1249B)
[2026-07-18T17:31:50.004Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1249B)
[2026-07-18T17:31:51.225Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1249B)
[2026-07-18T17:31:52.447Z] GET http://localhost:4600/api/game-status → pending (?ms, ?B)
[2026-07-18T17:33:06.356Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1249B)
[2026-07-18T17:33:07.577Z] GET http://localhost:4600/api/game-status → 200 (14ms, 1249B)
[2026-07-18T17:33:08.793Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1249B)
[2026-07-18T17:33:10.015Z] GET http://localhost:4600/api/game-status → 200 (16ms, 1249B)
[2026-07-18T17:33:11.233Z] GET http://localhost:4600/api/game-status → 200 (12ms, 1249B)
[2026-07-18T17:33:12.450Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1249B)
[2026-07-18T17:35:22.982Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1249B)
[2026-07-18T17:35:24.202Z] GET http://localhost:4600/api/game-status → 200 (13ms, 1401B)
[2026-07-18T17:35:25.417Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1465B)
[2026-07-18T17:35:28.439Z] GET http://localhost:4600/api/game-status → 200 (14ms, 1465B)
[2026-07-18T17:36:26.185Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1333B)
[2026-07-18T17:36:27.406Z] GET http://localhost:4600/api/game-status → 200 (17ms, 1333B)
[2026-07-18T17:36:28.626Z] GET http://localhost:4600/api/game-status → 200 (25ms, 1333B)
[2026-07-18T17:36:29.855Z] GET http://localhost:4600/api/game-status → 200 (22ms, 1333B)
[2026-07-18T17:36:31.080Z] GET http://localhost:4600/api/game-status → 200 (23ms, 1333B)
[2026-07-18T17:41:01.748Z] GET http://localhost:4600/api/game-status → 200 (43ms, 1333B)
[2026-07-18T17:41:02.994Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1333B)
[2026-07-18T17:41:04.216Z] GET http://localhost:4600/api/game-status → 200 (18ms, 1333B)
[2026-07-18T17:41:05.438Z] GET http://localhost:4600/api/game-status → 200 (19ms, 1333B)
[2026-07-18T17:41:06.665Z] GET http://localhost:4600/api/game-status → 200 (20ms, 1333B)
